epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,23669,1.52569,1.87338,1.70527,0.60435,0.29058,0.30752,0.1827,1.51797,1.96312,1.78588,0.00222358,0.00222358,0.00222358
43,25125,1.51706,1.83641,1.68357,0.65393,0.25439,0.28347,0.16554,1.54902,2.12163,1.82589,0.00218918,0.00218918,0.00218918
44,26585.5,1.5218,1.82479,1.68909,0.60044,0.25721,0.28863,0.16923,1.53403,2.05876,1.81832,0.00215431,0.00215431,0.00215431
45,28049.2,1.50645,1.82095,1.68847,0.62394,0.27491,0.32434,0.18322,1.50889,1.95628,1.78584,0.002119,0.002119,0.002119
46,29507,1.50053,1.81409,1.67851,0.57294,0.26898,0.30138,0.1803,1.52145,2.07333,1.78663,0.00208328,0.00208328,0.00208328
47,30976.9,1.49856,1.7895,1.67255,0.626,0.25969,0.2942,0.17849,1.48921,2.06142,1.75974,0.00204718,0.00204718,0.00204718
48,32440.6,1.49052,1.80418,1.67592,0.61329,0.27447,0.29864,0.17581,1.5082,1.94474,1.79491,0.0020107,0.0020107,0.0020107
49,33900.5,1.48474,1.74467,1.65869,0.68639,0.31019,0.33605,0.19614,1.49854,1.88434,1.79516,0.00197389,0.00197389,0.00197389
50,35366,1.46864,1.75017,1.64981,0.62007,0.28798,0.3134,0.18489,1.49113,1.95466,1.76433,0.00193676,0.00193676,0.00193676
51,36840.7,1.47359,1.71836,1.65128,0.59302,0.28229,0.3263,0.19532,1.47945,1.93399,1.76316,0.00189935,0.00189935,0.00189935
52,38298.3,1.46371,1.73077,1.64815,0.6609,0.27385,0.3081,0.18578,1.47938,1.96048,1.7654,0.00186167,0.00186167,0.00186167
53,39770.7,1.45853,1.72793,1.65083,0.6078,0.28047,0.32439,0.19857,1.47594,1.87093,1.76239,0.00182375,0.00182375,0.00182375
54,41229.3,1.45555,1.72618,1.65348,0.57248,0.33462,0.34193,0.2082,1.46485,1.84229,1.75238,0.00178562,0.00178562,0.00178562
55,42695.7,1.46056,1.71247,1.63985,0.52737,0.30854,0.34008,0.21171,1.46137,1.85098,1.751,0.00174731,0.00174731,0.00174731
56,2367.69,1.44228,1.67714,1.637,0.48734,0.329,0.34789,0.20884,1.47268,1.8606,1.76625,0.00170883,0.00170883,0.00170883
57,3857.68,1.44133,1.64947,1.63661,0.74996,0.28987,0.36568,0.21937,1.47186,1.92517,1.78208,0.00167022,0.00167022,0.00167022
58,5335.38,1.43165,1.65489,1.6249,0.4699,0.36366,0.36478,0.22525,1.44617,1.79105,1.74195,0.00163151,0.00163151,0.00163151
59,6830.16,1.43947,1.65286,1.61985,0.65087,0.31872,0.39268,0.24045,1.45718,1.7261,1.74148,0.00159272,0.00159272,0.00159272
60,8326.06,1.43247,1.63187,1.61776,0.59611,0.30723,0.36034,0.22094,1.43899,1.80653,1.7361,0.00155387,0.00155387,0.00155387
61,9818.34,1.43627,1.62746,1.62061,0.39718,0.37164,0.36196,0.22209,1.45716,1.7656,1.75413,0.001515,0.001515,0.001515
62,11303.4,1.41588,1.62849,1.61956,0.45848,0.37249,0.40355,0.24057,1.43287,1.73271,1.72371,0.00147613,0.00147613,0.00147613
63,12773.9,1.42442,1.61171,1.61068,0.53068,0.31562,0.35324,0.21276,1.46639,1.88827,1.74814,0.00143728,0.00143728,0.00143728
64,14258.1,1.41071,1.59907,1.60311,0.74462,0.26819,0.36762,0.21893,1.4567,1.92202,1.73248,0.00139849,0.00139849,0.00139849
65,15738.2,1.39644,1.55619,1.58671,0.49256,0.38401,0.41764,0.24445,1.43772,1.73725,1.72205,0.00135978,0.00135978,0.00135978
66,17235,1.40069,1.59272,1.60073,0.43181,0.397,0.3919,0.2453,1.42478,1.69842,1.72625,0.00132117,0.00132117,0.00132117
67,18720.9,1.4106,1.58249,1.60145,0.60994,0.32958,0.3778,0.2341,1.42339,1.7784,1.7235,0.00128269,0.00128269,0.00128269
68,20220.6,1.39235,1.5415,1.58884,0.34647,0.40754,0.38076,0.23451,1.43217,1.78462,1.72448,0.00124438,0.00124438,0.00124438
69,21718.7,1.37106,1.53691,1.58166,0.47951,0.35119,0.39567,0.23858,1.42515,1.79195,1.71542,0.00120625,0.00120625,0.00120625
70,23225.4,1.37427,1.5457,1.58229,0.60052,0.35571,0.41869,0.25785,1.40882,1.70893,1.6981,0.00116833,0.00116833,0.00116833
71,24719.3,1.37967,1.51844,1.57465,0.57829,0.36906,0.41582,0.25787,1.43822,1.66849,1.72326,0.00113065,0.00113065,0.00113065
72,26197.7,1.37909,1.52037,1.57621,0.4165,0.4247,0.43744,0.27037,1.40926,1.64527,1.70849,0.00109324,0.00109324,0.00109324
73,27666,1.37433,1.50873,1.58278,0.43488,0.39928,0.41371,0.24899,1.40816,1.72151,1.69229,0.00105611,0.00105611,0.00105611
74,29140.4,1.36821,1.50261,1.57282,0.54166,0.4204,0.44869,0.27902,1.40566,1.63508,1.69503,0.0010193,0.0010193,0.0010193
75,30622.4,1.37046,1.48902,1.57269,0.51,0.38434,0.43095,0.26083,1.40923,1.68636,1.69553,0.000982824,0.000982824,0.000982824
76,32090.4,1.3593,1.50832,1.57151,0.38244,0.4277,0.42036,0.25909,1.41051,1.67992,1.698,0.000946715,0.000946715,0.000946715
77,33561.2,1.35826,1.45259,1.55655,0.46475,0.43671,0.46028,0.28037,1.40421,1.60469,1.69998,0.000910996,0.000910996,0.000910996
78,35042.6,1.34998,1.46394,1.55697,0.38805,0.45073,0.44089,0.26676,1.41878,1.66475,1.69916,0.000875691,0.000875691,0.000875691
79,36514.5,1.35056,1.44287,1.55508,0.43001,0.45588,0.44771,0.27637,1.40052,1.63854,1.68584,0.000840824,0.000840824,0.000840824
80,37989.6,1.34172,1.44527,1.5512,0.53367,0.40389,0.453,0.27324,1.38999,1.60322,1.67545,0.000806419,0.000806419,0.000806419
81,39463.3,1.33246,1.44486,1.55157,0.51645,0.39136,0.44413,0.26831,1.41569,1.6809,1.69933,0.0007725,0.0007725,0.0007725
82,40929.9,1.33931,1.45084,1.55565,0.44928,0.47685,0.46478,0.28009,1.39517,1.61568,1.67142,0.00073909,0.00073909,0.00073909
83,42409.7,1.33069,1.44038,1.54255,0.45913,0.45292,0.44407,0.26778,1.39644,1.65756,1.68652,0.000706211,0.000706211,0.000706211
